username,The Dark Knight,Sleepless in Seattle,The Godfather,Pulp Fiction,Forrest Gump,Despicable Me,Memento,Amelie,Princess Mononoke,Pans Labyrinth,Inception,Titanic,The Notebook,Shawshank Redemption,Fight Club,Spider Man 2,Dumb and Dumber,300,Passion of the Christ,Anger Management,Django,Terminator,Harry Potter,The Ring,Scream,Transformers 2,Psycho,Dirty Harry,8 Mile,Scarface,Monty Python and the Holy Grail,Avatar,Twilight,Ocean's Twelve,Batman Begins,Cool Runnings,American Pie,Aladdin,The Village,Unbreakable,Wizard of Oz,Mission Impossible,Ice Age,Meet the Parents,The Butterfly Effect,Hollow Man,Fast 6,Alvin & the Chipmunks,Fantastic Four,Jackie Brown,From Dusk Till Dawn,Hugo,Toy Story,Monsters Ball,A Beautiful Mind,Vanilla Sky,Vampire Hunter,Zoolander,Pearl Harbor,Blow,Chocolat,Oldboy,Band of Brothers,Team America,Yellow Submarine,The Fall
Max,3,,5,5,4,3,4,,,4,3,3,,5,4,2,3,3,,2,,4,2,3,,1,,,3,,4,3,,2,3,,3,3,,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,
Kyle,5,3,5,5,4,3,4,,2,3,2,5,1,4,5,1,2,3,1,2,4,2,1,2,2,1,5,,3,4,5,4,2,1,3,,4,5,2,4,3,3,4,3,3,,,,3,5,,5,5,,,,,,,,,,,,,
Felix,4,,4,5,4,2,4,4,5,4,4,3,3,4,4,2,,3,,2,5,4,3,,3,1,3,,4,4,4,1,2,3,3,3,2,3,2,4,3,3,2,3,,2,,1,2,,4,4,4,,,,,,,,,,,,,
Phillip,4,1,,4,2,,3,4,5,4,4,1,2,3,3,2,2,2,,,3,5,2,4,2,1,,4,3,4,5,3,1,2,4,5,3,3,3,4,2,4,,4,3,2,1,,2,2,4,,3,,,,,,,,,,,,,
Greg,5,3,4,5,4,5,,,,,4,3,,5,5,4,5,3,2,2,,4,5,,,3,,4,2,3,3,4,1,2,4,4,4,5,,,5,4,4,3,3,,,,3,,,,5,,,,,,,,,,,,,
Tuhin,5,5,5,5,3,,4,4,5,4,4,4,3,4,4,2,2,2,,,4,1,4,4,1,1,4,3,4,5,3,5,1,2,2,4,1,4,2,2,2,4,,3,2,,1,,2,5,,,5,,,,,,,,,,,,,
Al,5,3,5,5,5,,5,5,5,,2,,,4,5,,3,4,,,,4,3,4,,1,3,4,4,3,3,1,,3,4,3,2,4,,,4,3,,,,,4,,,4,4,4,4,,,,,,,,,,,,,
Jay Carr,,,,,,,3,5,4,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,3,,,,,,,,,,,4,4,2,4,3,3,2,3,4,5,,,
Fung,5,4,,,4,3,,,,,5,3,,4,2,3,3,3,2,,4,3,3,,,2,,,,,4,2,,3,3,3,2,4,,,2,3,,,4,,2,,2,,,,5,,4,,,,,,,5,5,4,,
Nathan,5,,,5,5,,,,3,4,4,,,5,4,1,,,3,,,4,,3,,2,,4,3,4,4,3,,,3,,,3,1,,,3,,3,,,,,1,,3,3,4,,5,,,4,2,3,,,,,5,5
Owen,5,,5,4,5,,4,,,3,4,,3,3,4,2,,3,,,5,,,,,,,4,2,4,4,,,,4,4,3,3,,,3,3,,3,,,,,,,,,4,,4,,,3,,4,,4,5,,5,
